participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,any_questions,english_first_language,country_of_birth
60fcb26677a917ac1dd40513,filler,28,filler,0,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,7,DO_implausible,1,Yes,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,2,DO_implausible,2,No,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,6,PO_implausible,3,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,11,PO_plausible,4,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,12,DO_plausible,5,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,27,filler,6,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,19,filler,7,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,1,filler,8,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,2,filler,9,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,5,PO_plausible,10,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,11,filler,11,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,45,filler,12,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,18,filler,13,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,36,filler,14,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,31,filler,15,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,17,DO_plausible,16,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,act-pass2,1,passive_v2,17,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,act-pass2,3,active_v2,18,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,17,filler,19,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,24,filler,20,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,43,filler,21,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,act-pass2,4,passive_v2,22,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,20,DO_implausible,23,No,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,7,filler,24,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,46,filler,25,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,10,DO_plausible,26,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,20,filler,27,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,10,filler,28,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,16,filler,29,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,23,filler,30,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,5,filler,31,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,act-pass2,12,active_v1,32,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,19,DO_implausible,33,No,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,act-pass2,5,passive_v1,34,Yes,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,44,filler,35,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,3,PO_implausible,36,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,15,PO_plausible,37,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,12,filler,38,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,37,filler,39,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,14,filler,40,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,34,filler,41,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,1,PO_plausible,42,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,act-pass2,9,active_v1,43,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,8,PO_implausible,44,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,13,filler,45,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,29,filler,46,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,40,filler,47,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,42,filler,48,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,25,filler,49,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,30,filler,50,No,No,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,dopo,9,PO_implausible,51,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
60fcb26677a917ac1dd40513,filler,8,filler,52,Yes,Yes,2023-05-15 02:23:12,NA,Yes,United States
